주문번호,종목이름,임시,거래량,거래대금,종가,기준가
000880,한화,2490,101602,2529,24750,25050
00088K,한화3우B,606,10983,152,13900,13850
027390,한화갤러리아타임월드,109,2389,42,17800,17850
088350,한화생명,3634,1465593,3432,2335,2315
000370,한화손해보험,2370,458257,1352,2935,3005
265920,한화수성스팩,9,5763,12,2045,2040
317320,한화에스비아이스팩,393,77257,267,3480,3455
012450,한화에어로스페이스,7253,313504,13167,41800,41300
264290,한화에이스스팩3호,28,29732,62,2080,2090
279410,한화에이스스팩4호,12,5086,11,2080,2075
000885,한화우,1310,41339,1226,29850,30200
009830,한화케미칼,6562,322780,5794,17950,18050
009835,한화케미칼우,105,5370,64,12050,12150
003530,한화투자증권,614,149653,315,2115,2135
003535,한화투자증권우,150,8601,18,2105,2120
220630,해마로푸드서비스,1995,650865,1696,2650,2630
195870,해성디에스,1584,34767,495,14400,14200
034810,해성산업,32,817,8,9580,9600
076610,해성옵틱스,379,202144,355,1745,1765
101530,해태제과식품,307,29529,230,7770,7960
220180,핸디소프트,173,20762,58,2800,2850
143210,핸즈코퍼레이션,84,8930,65,7280,7320
900270,헝셩그룹,1737,1979614,2180,1095,1115
084990,헬릭스미스,40349,2545758,215456,82400,89800
000720,현대건설,16419,492346,21772,44100,45350
267270,현대건설기계,4236,55269,1755,31600,32150
000725,현대건설우,54,471,75,159500,161500
170030,현대공업,544,71595,240,3360,3380
005440,현대그린푸드,2719,77674,893,11450,11400
086280,현대글로비스,4260,47447,7081,149500,150500
064350,현대로템,2318,232534,4324,18400,18750
079430,현대리바트,1170,27093,377,13750,13800
012330,현대모비스,7380,156354,37917,240500,244000
010620,현대미포조선,4947,126454,5608,44300,44850
048410,현대바이오,17070,3860707,58323,15300,14950
069960,현대백화점,2125,22722,1741,76300,77300
004560,현대비앤지스틸,140,4228,39,9100,9200
004565,현대비앤지스틸우,24,236,14,58900,60000
016790,현대사료,248,16843,240,14250,14450
011760,현대상사,1356,25766,472,18250,18550
011200,현대상선,1524,394875,1376,3470,3500
004310,현대약품,26613,4578041,23949,4945,5190
126560,현대에이치씨엔,178,8423,31,3735,3750
017800,현대엘리베이,4693,138578,11159,80100,81700
307950,현대오토에버,2360,68587,3544,51700,53000
011210,현대위아,2147,58271,2627,44900,44800
267260,현대일렉트릭,651,68237,725,10650,10700
004020,현대제철,6616,220109,7986,36300,36400
267250,현대중공업지주,4762,20973,7419,353000,354000
005380,현대차,8727,509079,62657,123000,123000
005387,현대차2우B,4337,73822,5938,80700,81200
005389,현대차3우B,156,721,52,72000,71800
005385,현대차우,1691,24223,1778,73500,73800
001500,현대차증권,762,27370,283,10400,10500
227840,현대코퍼레이션홀딩스,723,68528,833,12100,12350
