"체결시간","체결가","체결량"
"09:35:24 804","10800","+1"
"09:35:26 097","10750","-10"
"09:35:29 207","10800","+1"
"09:35:31 596","10750","-71"
"09:35:32 985","10750","+70"
"09:35:34 004","10750","+1"
"09:35:37 291","10750","+23"
"09:35:40 386","10750","+60"
"09:35:41 997","10750","+1"
"09:35:46 991","10750","+2"
"09:35:51 404","10750","+3"
"09:35:51 697","10750","+2"
"09:35:53 003","10750","+100"
"09:35:56 087","10750","+1"
"09:35:59 281","10750","+250"
"09:36:01 188","10750","+1"
"09:36:05 792","10750","+1"
"09:36:08 383","10750","+41"
"09:36:10 699","10750","+1"
"09:36:16 492","10750","+1"
"09:36:18 806","10750","+65"
"09:36:26 115","10750","+1"
"09:36:26 978","10700","-978"
"09:36:26 986","10700","-1750"
"09:36:28 585","10650","-11"
"09:36:28 707","10700","+1"
"09:36:37 699","10700","+1"
"09:36:41 791","10700","+1"
"09:36:44 898","10700","+1"
"09:36:48 724","10700","+1"
"09:36:51 783","10700","+1"
"09:37:07 594","10700","+1"
"09:37:10 589","10700","+1"
"09:37:16 102","10700","+1"
"09:37:19 977","10700","+1"
"09:37:19 987","10700","+50"
"09:37:19 987","10700","+50"
"09:37:19 987","10700","+1"
"09:37:22 582","10700","+15"
"09:37:26 483","10700","+1"
"09:37:37 683","10700","+1"
"09:37:53 200","10700","+18"
"09:37:53 201","10700","+18"
"09:37:53 201","10700","+23"
"09:37:53 202","10700","+37"
"09:37:53 285","10700","+18"
"09:37:56 601","10700","+9"
"09:38:01 610","10700","+20"
"09:38:01 610","10700","+4"
"09:38:01 611","10700","+33"
"09:38:03 116","10650","-200"
"09:38:03 195","10650","-580"
"09:38:03 992","10700","+100"
"09:38:05 690","10700","+7"
"09:38:05 691","10700","+7"
"09:38:05 692","10700","+14"
"09:38:05 692","10700","+7"
"09:38:05 694","10700","+7"
"09:38:09 082","10700","+1"
"09:38:13 811","10700","+15"
"09:38:19 798","10650","-1"
"09:38:20 491","10650","+59"
"09:38:25 578","10700","+1"
"09:38:28 092","10700","+1"
"09:38:31 409","10700","+2"
"09:38:34 686","10700","+1"
"09:38:47 089","10700","+1"
"09:38:49 999","10650","-1051"
"09:39:05 996","10650","+1"
"09:39:13 979","10650","+200"
"09:39:19 792","10650","+1"
"09:39:29 999","10650","+1"
"09:39:39 591","10650","+100"
"09:39:52 502","10650","+10"
"09:39:58 205","10650","+1"
"09:40:02 297","10650","+1"
"09:40:06 709","10650","+1"
"09:40:09 899","10650","+1"
"09:40:13 593","10650","+19"
"09:40:13 594","10650","+3"
"09:40:13 595","10650","+32"
"09:40:16 879","10650","+1"
"09:40:22 075","10650","+6"
"09:40:22 076","10650","+6"
"09:40:22 077","10650","+6"
"09:40:22 077","10650","+6"
"09:40:22 078","10650","+13"
"09:40:27 879","10650","+1"
"09:40:40 487","10650","+20"
"09:40:41 592","10650","+49"
"09:40:42 586","10700","+8"
"09:40:42 787","10700","+1"
"09:40:56 997","10700","+50"
"09:40:56 997","10700","+1"
"09:40:56 998","10700","+50"
"09:40:59 297","10700","+15"
"09:41:07 089","10700","+1"
"09:41:22 676","10700","+1"
"09:41:29 684","10700","+467"
"09:41:32 083","10700","+1"
"09:41:41 175","10700","+1"
"09:41:52 782","10700","+1"
"09:41:52 879","10700","+3"
"09:42:05 299","10700","+1"
"09:42:06 185","10650","-193"
"09:42:10 281","10700","+1"
"09:42:24 595","10700","+19"
"09:42:24 597","10700","+3"
"09:42:24 598","10700","+32"
"09:42:29 696","10700","+186"
"09:42:30 984","10650","-119"
"09:42:32 907","10650","+1"
"09:42:38 100","10650","+7"
"09:42:38 102","10650","+7"
"09:42:38 104","10650","+7"
"09:42:38 104","10650","+13"
"09:42:38 104","10650","+7"
"09:43:29 583","10650","+8"
"09:44:03 193","10650","+1"
"09:44:20 478","10650","+1"
"09:44:23 004","10650","+1"
"09:44:30 003","10650","+1"
"09:44:34 026","10650","+50"
"09:44:34 026","10650","+1"
"09:44:34 026","10650","+50"
"09:44:36 095","10650","+15"
"09:44:36 598","10650","+20"
"09:44:36 598","10650","+3"
"09:44:36 599","10650","+32"
"09:44:46 405","10600","-50"
"09:44:49 683","10650","+1"
"09:44:55 073","10650","+6"
"09:44:55 073","10650","+6"
"09:44:55 073","10650","+6"
"09:44:55 074","10650","+6"
"09:44:55 075","10650","+14"
"09:45:05 075","10650","+10"
"09:45:07 579","10650","+1"
"09:45:14 872","10600","-68"
"09:45:19 282","10650","+1"
"09:45:23 284","10650","+1"
"09:45:31 687","10600","-100"
"09:45:31 691","10600","-1669"
"09:45:36 662","10650","+1"
"09:46:15 577","10600","+8"
"09:46:48 578","10600","+19"
"09:46:48 578","10600","+3"
"09:46:48 578","10600","+33"
"09:46:49 984","10600","+10"
"09:46:54 179","10600","+19"
"09:46:54 180","10600","+37"
"09:46:54 182","10600","+16"
"09:46:55 782","10650","+1"
"09:47:08 600","10600","-1"
"09:47:11 084","10650","+7"
"09:47:11 093","10650","+7"
"09:47:11 094","10650","+7"
"09:47:11 098","10650","+7"
"09:47:11 100","10650","+13"
"09:47:11 192","10650","+1"
"09:47:24 796","10650","+1"
"09:47:48 776","10650","+10"
"09:47:55 003","10650","+1"
"09:47:57 769","10650","+1"
"09:47:59 886","10600","-246"
"09:48:04 071","10650","+1"
"09:48:08 465","10550","-26"
"09:48:12 378","10650","+1"
"09:48:12 857","10650","+15"
"09:48:40 276","10650","+1"
"09:48:45 788","10650","+1"
"09:48:59 588","10650","+19"
"09:48:59 588","10650","+4"
"09:48:59 588","10650","+32"
"09:49:00 381","10650","+1"
"09:49:01 585","10650","+8"
"09:49:26 634","10650","+1"
"09:49:28 133","10650","+6"
"09:49:28 134","10650","+6"
"09:49:28 137","10650","+13"
"09:49:28 137","10650","+6"
"09:49:28 137","10650","+6"
"09:50:00 839","10650","+1"
"09:50:58 335","10650","+1"
"09:51:04 746","10650","+1"
"09:51:11 652","10650","+20"
"09:51:11 653","10650","+3"
"09:51:11 653","10650","+32"
"09:51:24 630","10650","+19"
"09:51:24 631","10650","+24"
"09:51:24 639","10650","+19"
"09:51:24 644","10650","+19"
"09:51:24 644","10650","+38"
"09:51:44 144","10650","+14"
"09:51:44 145","10650","+7"
"09:51:44 148","10650","+7"
"09:51:44 149","10650","+7"
"09:51:44 150","10650","+7"
"09:51:47 034","10650","+50"
"09:51:47 034","10650","+50"
"09:51:47 034","10650","+1"
"09:51:47 035","10650","+50"
"09:51:47 035","10650","+50"
"09:51:47 133","10650","+1"
"09:51:47 624","10650","+8"
"09:51:49 717","10650","+15"
"09:51:52 156","10600","-307"
"09:51:57 320","10650","+1"
"09:52:13 743","10600","-28"
"09:52:17 933","10650","+1"
"09:52:29 522","10650","+1"
"09:53:23 640","10650","+19"
