"체결시간","체결가","체결량"
"10:45:59 069","10600","+50"
"10:46:01 103","10600","+15"
"10:46:02 572","10550","-400"
"10:46:03 591","10600","+20"
"10:46:03 591","10600","+3"
"10:46:03 592","10600","+33"
"10:46:20 079","10600","+14"
"10:46:20 080","10600","+7"
"10:46:20 082","10600","+7"
"10:46:20 083","10600","+7"
"10:46:20 085","10600","+7"
"10:46:39 992","10600","+1"
"10:46:47 491","10600","+1"
"10:47:13 586","10600","+8"
"10:47:57 787","10550","-5"
"10:48:03 172","10600","+1"
"10:48:08 482","10600","+1"
"10:48:15 580","10600","+19"
"10:48:15 580","10600","+4"
"10:48:15 581","10600","+32"
"10:48:17 786","10550","-740"
"10:48:17 884","10550","-259"
"10:48:24 790","10550","-748"
"10:48:24 869","10600","+1"
"10:48:36 079","10600","+6"
"10:48:36 080","10600","+6"
"10:48:36 080","10600","+6"
"10:48:36 082","10600","+6"
"10:48:36 083","10600","+13"
"10:48:36 987","10600","+1"
"10:49:00 479","10600","+1"
"10:49:10 789","10600","+1"
"10:49:19 235","10600","+1"
"10:49:36 044","10600","+50"
"10:49:36 044","10600","+50"
"10:49:36 044","10600","+1"
"10:49:37 935","10600","+15"
"10:49:41 519","10600","+1"
"10:49:49 040","10600","+1"
"10:49:59 632","10600","+8"
"10:50:00 630","10600","+18"
"10:50:00 631","10600","+18"
"10:50:00 631","10600","+23"
"10:50:00 632","10600","+18"
"10:50:00 632","10600","+37"
"10:50:13 824","10600","+1"
"10:50:27 629","10600","+19"
"10:50:27 630","10600","+3"
"10:50:27 630","10600","+32"
"10:50:28 623","10600","+1"
"10:50:48 621","10600","+1"
"10:50:53 120","10600","+7"
"10:50:53 121","10600","+13"
"10:50:53 133","10600","+7"
"10:50:53 133","10600","+7"
"10:50:53 141","10600","+7"
"10:50:56 337","10600","+1"
"10:51:06 818","10600","+1"
"10:51:21 721","10600","+1"
"10:51:30 835","10600","+1"
"10:51:45 126","10600","+1"
"10:52:02 122","10600","+1"
"10:52:31 855","10600","+1"
"10:52:38 635","10600","+20"
"10:52:38 635","10600","+3"
"10:52:38 636","10600","+32"
"10:52:45 632","10600","+8"
"10:53:07 139","10600","+1"
"10:53:09 126","10600","+6"
"10:53:09 128","10600","+14"
"10:53:09 128","10600","+6"
"10:53:09 129","10600","+6"
"10:53:09 130","10600","+6"
"10:53:13 034","10600","+50"
"10:53:13 035","10600","+50"
"10:53:13 035","10600","+1"
"10:53:14 732","10600","+15"
"10:53:41 229","10550","-2"
"10:53:41 314","10550","+754"
"10:53:50 491","10600","+1"
"10:53:56 021","10600","+1"
"10:54:31 121","10600","+19"
"10:54:31 122","10600","+19"
"10:54:31 123","10600","+19"
"10:54:31 124","10600","+38"
"10:54:31 125","10600","+24"
"10:54:33 035","10600","+1"
"10:54:50 637","10600","+19"
"10:54:50 637","10600","+3"
"10:54:50 638","10600","+33"
"10:55:26 127","10600","+13"
"10:55:26 129","10600","+7"
"10:55:26 129","10600","+7"
"10:55:26 131","10600","+7"
"10:55:26 132","10600","+7"
"10:55:31 617","10600","+8"
"10:56:22 324","10550","-1"
"10:56:40 542","10550","-1"
"10:56:50 030","10550","+50"
"10:56:50 030","10550","+4"
"10:56:51 425","10600","+15"
"10:56:52 220","10600","+1"
"10:57:02 820","10600","+19"
"10:57:02 822","10600","+4"
"10:57:02 823","10600","+32"
"10:57:11 825","10600","+1"
"10:57:16 626","10600","+1"
"10:57:36 223","10600","+1"
"10:57:42 115","10600","+6"
"10:57:42 117","10600","+6"
"10:57:42 122","10600","+6"
"10:57:42 123","10600","+13"
"10:57:42 124","10600","+6"
"10:57:43 631","10600","+1"
"10:57:56 631","10550","-13"
"10:57:58 911","10600","+1"
"10:58:18 623","10600","+8"
"10:58:20 516","10550","-12"
"10:58:21 218","10550","-66"
"10:59:01 619","10600","+19"
"10:59:01 620","10600","+24"
"10:59:01 621","10600","+19"
"10:59:01 622","10600","+37"
"10:59:01 622","10600","+19"
"10:59:07 821","10550","-12"
"10:59:07 821","10500","-28"
"10:59:13 623","10550","+20"
"10:59:13 624","10550","+3"
"10:59:13 625","10550","+32"
"10:59:59 112","10550","+7"
"10:59:59 113","10550","+7"
"10:59:59 113","10550","+7"
"10:59:59 114","10550","+7"
"10:59:59 114","10550","+14"
"11:00:27 023","10550","+22"
"11:00:28 217","10600","+15"
"11:01:04 628","10600","+8"
"11:01:12 318","10600","+1"
"11:01:25 623","10600","+19"
"11:01:25 623","10600","+3"
"11:01:25 718","10600","+32"
"11:01:28 114","10600","+30"
"11:02:15 128","10600","+6"
"11:02:15 130","10600","+13"
"11:02:15 131","10600","+6"
"11:02:15 135","10600","+6"
"11:02:15 136","10600","+6"
"11:02:46 915","10550","-79"
"11:02:46 915","10500","-49"
"11:03:08 561","10600","+1"
"11:03:32 011","10600","+19"
"11:03:32 011","10600","+24"
"11:03:32 012","10600","+38"
"11:03:32 013","10600","+19"
"11:03:32 014","10600","+19"
"11:03:37 625","10600","+19"
"11:03:37 626","10600","+3"
"11:03:37 702","10600","+33"
"11:03:50 627","10600","+8"
"11:04:03 034","10600","+50"
"11:04:03 034","10600","+50"
"11:04:03 107","10600","+1"
"11:04:05 008","10600","+15"
"11:04:13 626","10600","+24"
"11:04:32 120","10600","+13"
"11:04:32 120","10600","+7"
"11:04:32 123","10600","+7"
"11:04:32 203","10600","+7"
"11:04:32 204","10600","+7"
"11:04:55 915","10600","+33"
"11:05:48 618","10600","+20"
"11:05:48 619","10600","+3"
"11:05:48 620","10600","+32"
"11:06:05 620","10600","+500"
"11:06:36 621","10600","+9"
"11:06:48 112","10600","+6"
"11:06:48 114","10600","+6"
"11:06:48 114","10600","+6"
"11:06:48 116","10600","+14"
"11:06:48 116","10600","+6"
"11:07:28 802","10600","+3"
"11:07:40 029","10600","+50"
"11:07:40 029","10600","+50"
"11:07:40 029","10600","+1"
"11:07:41 713","10600","+15"
"11:08:00 625","10600","+19"
"11:08:00 626","10600","+4"
"11:08:00 626","10600","+32"
"11:08:02 504","10600","+18"
"11:08:02 505","10600","+23"
"11:08:02 505","10600","+18"
"11:08:02 506","10600","+37"
"11:08:02 507","10600","+18"
"11:08:27 922","10600","+1"
"11:09:05 101","10600","+7"
"11:09:05 102","10600","+7"
"11:09:05 112","10600","+7"
"11:09:05 113","10600","+13"
"11:09:05 113","10600","+7"
"11:09:21 513","10550","-1"
"11:09:21 522","10550","+199"
"11:09:55 113","10600","+1"
"11:10:12 624","10600","+19"
"11:10:12 624","10600","+3"
"11:10:12 624","10600","+32"
"11:11:17 020","10600","+50"
"11:11:17 030","10600","+50"
"11:11:17 030","10600","+1"
"11:11:18 505","10600","+15"
"11:11:21 103","10600","+6"
"11:11:21 105","10600","+6"
"11:11:21 106","10600","+6"
"11:11:21 107","10600","+6"
"11:11:21 108","10600","+13"
"11:12:09 603","10600","+8"
"11:12:23 619","10600","+20"
"11:12:23 619","10600","+3"
"11:12:23 620","10600","+33"
"11:12:32 919","10600","+24"
"11:12:32 920","10600","+19"
"11:12:32 995","10600","+19"
"11:12:32 995","10600","+19"
"11:12:32 996","10600","+38"
"11:13:37 108","10600","+7"
"11:13:37 108","10600","+14"
"11:13:37 109","10600","+7"
"11:13:37 109","10600","+7"
"11:13:37 109","10600","+7"
"11:14:35 608","10600","+19"
"11:14:35 608","10600","+3"
"11:14:35 609","10600","+32"
"11:14:54 013","10600","+50"
"11:14:54 013","10600","+50"
"11:14:54 013","10600","+1"
"11:14:55 298","10600","+15"
"11:14:55 597","10600","+8"
"11:14:55 597","10600","+8"
"11:15:50 995","10550","-31"
"11:15:54 108","10600","+6"
"11:15:54 110","10600","+6"
"11:15:54 112","10600","+6"
"11:15:54 114","10600","+6"
"11:15:54 114","10600","+13"
"11:16:47 618","10600","+20"
"11:16:47 619","10600","+4"
"11:16:47 620","10600","+32"
"11:17:03 409","10600","+24"
"11:17:03 410","10600","+19"
"11:17:03 411","10600","+19"
"11:17:03 411","10600","+19"
"11:17:03 412","10600","+37"
"11:17:37 814","10600","+1"
"11:17:41 606","10600","+8"
"11:18:10 099","10600","+7"
"11:18:10 100","10600","+13"
"11:18:10 108","10600","+7"
"11:18:10 108","10600","+7"
"11:18:10 108","10600","+7"
"11:18:23 290","10600","+500"
"11:18:30 994","10600","+50"
"11:18:30 994","10600","+50"
"11:18:30 994","10600","+1"
"11:18:32 007","10600","+15"
"11:18:58 612","10600","+19"
"11:18:58 702","10600","+3"
"11:18:58 702","10600","+32"
"11:19:01 907","10600","+348"
"11:20:27 097","10650","+6"
"11:20:27 100","10650","+6"
"11:20:27 102","10650","+6"
"11:20:27 103","10650","+6"
"11:20:27 103","10650","+14"
"11:20:28 603","10650","+8"
"11:21:05 088","10650","+1"
"11:21:10 626","10650","+19"
"11:21:10 694","10650","+3"
"11:21:10 697","10650","+33"
"11:21:33 890","10650","+19"
"11:21:33 891","10650","+19"
"11:21:33 892","10650","+38"
"11:21:33 892","10650","+19"
"11:21:33 893","10650","+24"
"11:22:07 006","10650","+50"
"11:22:07 006","10650","+50"
"11:22:07 006","10650","+1"
"11:22:08 813","10650","+15"
"11:22:43 102","10650","+7"
"11:22:43 103","10650","+13"
"11:22:43 103","10650","+7"
"11:22:43 108","10650","+7"
"11:22:43 108","10650","+7"
"11:23:14 600","10650","+8"
"11:23:22 603","10650","+20"
"11:23:22 603","10650","+3"
"11:23:22 604","10650","+32"
"11:25:00 106","10650","+6"
"11:25:00 107","10650","+6"
"11:25:00 109","10650","+6"
"11:25:00 109","10650","+13"
"11:25:00 114","10650","+6"
"11:25:28 694","10650","+1"
"11:25:32 288","10600","-10"
"11:25:33 624","10650","+19"
"11:25:33 625","10650","+3"
"11:25:33 626","10650","+32"
"11:25:38 207","10600","-5"
"11:25:39 499","10650","+1"
"11:25:41 706","10600","-2000"
"11:25:44 085","10600","-164"
"11:25:45 302","10650","+1"
"11:25:45 595","10650","+15"
"11:25:45 700","10600","-1"
"11:26:00 593","10600","+8"
"11:26:04 295","10600","+18"
"11:26:04 295","10600","+37"
"11:26:04 296","10600","+18"
"11:26:04 296","10600","+23"
"11:26:04 297","10600","+18"
"11:26:22 702","10550","-150"
"11:26:24 397","10600","+1"
"11:26:59 199","10550","-10"
"11:27:02 910","10600","+1"
"11:27:16 086","10600","+7"
"11:27:16 107","10600","+7"
"11:27:16 108","10600","+7"
"11:27:16 109","10600","+14"
"11:27:16 111","10600","+7"
"11:27:20 693","10600","+3"
"11:27:45 615","10600","+19"
"11:27:45 615","10600","+4"
"11:27:45 681","10600","+32"
"11:28:46 617","10600","+9"
"11:29:21 085","10600","+50"
"11:29:21 085","10600","+1"
"11:29:21 085","10600","+50"
"11:29:22 288","10600","+15"
"11:29:33 090","10600","+6"
"11:29:33 091","10600","+6"
"11:29:33 091","10600","+6"
"11:29:33 092","10600","+6"
"11:29:33 093","10600","+13"
"11:29:57 606","10600","+20"
"11:29:57 607","10600","+3"
"11:29:57 607","10600","+33"
"11:30:34 782","10600","+24"
"11:30:34 782","10600","+19"
"11:30:34 783","10600","+38"
"11:30:34 784","10600","+19"
"11:30:34 797","10600","+19"
"11:30:52 996","10600","+1"
"11:31:33 601","10600","+8"
"11:31:49 093","10600","+7"
"11:31:49 094","10600","+7"
"11:31:49 095","10600","+7"
"11:31:49 096","10600","+13"
"11:31:49 098","10600","+7"
"11:32:08 600","10600","+19"
"11:32:08 600","10600","+3"
"11:32:08 601","10600","+32"
"11:32:20 795","10600","+30"
"11:32:45 883","10550","-1"
"11:32:59 089","10600","+15"
"11:34:06 081","10600","+6"
"11:34:06 083","10600","+6"
"11:34:06 084","10600","+6"
"11:34:06 085","10600","+14"
"11:34:06 087","10600","+6"
"11:34:19 584","10600","+8"
"11:34:20 588","10600","+19"
"11:34:20 589","10600","+3"
"11:34:20 589","10600","+32"
"11:34:46 774","10550","-1523"
"11:35:05 201","10550","+37"
"11:35:05 201","10550","+19"
"11:35:05 281","10550","+19"
"11:35:05 281","10550","+19"
"11:35:05 282","10550","+24"
"11:35:06 775","10500","-5"
"11:36:22 093","10550","+7"
"11:36:22 100","10550","+7"
"11:36:22 100","10550","+13"
"11:36:22 105","10550","+7"
"11:36:22 105","10550","+7"
"11:36:32 606","10550","+20"
"11:36:32 607","10550","+4"
"11:36:32 608","10550","+32"
"11:36:34 987","10550","+50"
"11:36:34 987","10550","+50"
"11:36:34 987","10550","+1"
"11:36:35 886","10550","+15"
"11:37:05 592","10550","+8"
"11:38:06 686","10500","-320"
"11:38:39 086","10550","+6"
"11:38:39 089","10550","+6"
"11:38:39 090","10550","+6"
"11:38:39 091","10550","+6"
"11:38:39 091","10550","+13"
"11:38:44 592","10550","+19"
"11:38:44 595","10550","+3"
"11:38:44 599","10550","+33"
"11:39:12 577","10500","-200"
"11:39:27 975","10550","+1"
"11:39:35 693","10550","+19"
"11:39:35 694","10550","+19"
"11:39:35 694","10550","+19"
"11:39:35 695","10550","+38"
"11:39:35 696","10550","+24"
"11:39:42 986","10550","+30"
"11:39:52 583","10550","+8"
"11:40:11 992","10550","+50"
"11:40:11 992","10550","+50"
"11:40:11 992","10550","+1"
"11:40:12 582","10550","+15"
"11:40:55 094","10550","+7"
"11:40:55 095","10550","+7"
"11:40:55 097","10550","+7"
"11:40:55 098","10550","+14"
"11:40:55 098","10550","+7"
"11:40:55 592","10550","+19"
"11:40:55 683","10550","+3"
"11:40:55 683","10550","+32"
"11:41:12 988","10500","-72"
"11:42:38 585","10550","+8"
"11:43:07 573","10550","+20"
"11:43:07 574","10550","+3"
"11:43:07 574","10550","+32"
"11:43:12 083","10550","+6"
"11:43:12 085","10550","+6"
"11:43:12 090","10550","+6"
"11:43:12 091","10550","+6"
"11:43:12 092","10550","+13"
"11:43:48 008","10550","+50"
"11:43:48 082","10550","+1"
"11:43:48 083","10550","+50"
"11:43:49 392","10550","+15"
"11:43:58 999","10500","-8"
"11:44:06 178","10550","+23"
"11:44:06 180","10550","+37"
"11:44:06 180","10550","+18"
"11:44:06 180","10550","+18"
"11:44:06 188","10550","+18"
"11:44:07 476","10500","-314"
"11:45:19 577","10550","+19"
"11:45:19 577","10550","+3"
"11:45:19 577","10550","+32"
"11:45:24 577","10550","+8"
"11:45:28 073","10550","+13"
"11:45:28 074","10550","+7"
"11:45:28 075","10550","+7"
"11:45:28 083","10550","+7"
"11:45:28 083","10550","+7"
"11:47:24 990","10550","+50"
"11:47:24 991","10550","+50"
"11:47:24 991","10550","+1"
"11:47:26 167","10550","+15"
"11:47:30 588","10550","+19"
"11:47:30 589","10550","+4"
"11:47:30 589","10550","+33"
"11:47:45 077","10550","+6"
"11:47:45 078","10550","+6"
"11:47:45 078","10550","+6"
"11:47:45 079","10550","+6"
"11:47:45 080","10550","+14"
"11:48:10 599","10550","+8"
"11:48:36 583","10550","+19"
"11:48:36 583","10550","+38"
"11:48:36 584","10550","+24"
"11:48:36 584","10550","+19"
"11:48:36 668","10550","+19"
"11:49:42 639","10550","+20"
"11:49:42 640","10550","+3"
"11:49:42 720","10550","+32"
"11:50:01 120","10550","+7"
"11:50:01 122","10550","+7"
"11:50:01 124","10550","+7"
"11:50:01 126","10550","+13"
"11:50:01 128","10550","+7"
"11:50:57 614","10550","+9"
"11:51:02 114","10550","+50"
"11:51:02 114","10550","+50"
"11:51:02 115","10550","+1"
"11:51:02 935","10550","+15"
"11:51:54 623","10550","+19"
"11:51:54 624","10550","+3"
"11:51:54 625","10550","+32"
"11:52:18 129","10550","+6"
"11:52:18 129","10550","+6"
"11:52:18 130","10550","+6"
"11:52:18 130","10550","+6"
"11:52:18 131","10550","+13"
"11:52:26 929","10500","-20"
"11:52:54 712","10550","+1"
"11:53:07 142","10550","+24"
"11:53:07 212","10550","+37"
"11:53:07 212","10550","+19"
"11:53:07 213","10550","+19"
"11:53:07 214","10550","+19"
"11:53:43 627","10550","+8"
"11:54:05 621","10550","+20"
"11:54:05 622","10550","+3"
"11:54:05 622","10550","+32"
"11:54:34 115","10550","+7"
"11:54:34 117","10550","+7"
"11:54:34 117","10550","+14"
"11:54:34 125","10550","+7"
"11:54:34 126","10550","+7"
"11:54:37 725","10550","+1893"
"11:54:39 039","10550","+50"
"11:54:39 040","10550","+50"
"11:54:39 040","10550","+1"
"11:54:39 715","10550","+15"
"11:56:17 626","10550","+19"
"11:56:17 627","10550","+4"
"11:56:17 707","10550","+33"
"11:56:29 616","10550","+8"
"11:56:51 118","10550","+6"
"11:56:51 120","10550","+6"
"11:56:51 121","10550","+6"
"11:56:51 121","10550","+6"
"11:56:51 122","10550","+13"
"11:57:37 620","10550","+19"
"11:57:37 620","10550","+38"
"11:57:37 621","10550","+24"
"11:57:37 621","10550","+19"
"11:57:37 622","10550","+19"
"11:58:16 031","10550","+50"
"11:58:16 031","10550","+50"
"11:58:16 031","10550","+1"
"11:58:16 521","10550","+15"
"11:58:29 641","10550","+19"
"11:58:29 713","10550","+3"
"11:58:29 714","10550","+32"
"11:59:07 117","10550","+7"
"11:59:07 117","10550","+7"
"11:59:07 118","10550","+13"
"11:59:07 119","10550","+7"
"11:59:07 121","10550","+7"
"11:59:15 619","10550","+8"
"12:00:40 627","10550","+20"
"12:00:40 627","10550","+3"
"12:00:40 627","10550","+32"
"12:01:23 113","10550","+6"
"12:01:23 114","10550","+6"
"12:01:23 114","10550","+6"
"12:01:23 115","10550","+14"
"12:01:23 115","10550","+6"
"12:01:52 033","10550","+50"
"12:01:52 034","10550","+1"
"12:01:52 101","10550","+50"
"12:01:53 233","10550","+15"
"12:02:02 627","10550","+8"
"12:02:08 033","10550","+18"
"12:02:08 034","10550","+37"
"12:02:08 035","10550","+18"
"12:02:08 036","10550","+18"
"12:02:08 038","10550","+23"
"12:02:52 623","10550","+19"
"12:02:52 623","10550","+3"
"12:02:52 704","10550","+32"
"12:03:40 110","10550","+7"
"12:03:40 112","10550","+7"
"12:03:40 124","10550","+7"
"12:03:40 124","10550","+13"
"12:03:40 124","10550","+7"
"12:04:48 623","10550","+8"
"12:05:04 624","10550","+19"
"12:05:04 625","10550","+3"
"12:05:04 625","10550","+33"
"12:05:29 024","10550","+50"
"12:05:29 024","10550","+50"
"12:05:29 024","10550","+1"
"12:05:30 012","10550","+15"
"12:05:54 601","10550","+5"
"12:05:56 110","10550","+6"
"12:05:56 112","10550","+6"
"12:05:56 112","10550","+6"
"12:05:56 112","10550","+6"
"12:05:56 113","10550","+13"
"12:06:38 508","10550","+19"
"12:06:38 509","10550","+24"
"12:06:38 510","10550","+19"
"12:06:38 510","10550","+19"
"12:06:38 511","10550","+38"
"12:07:15 610","10550","+20"
"12:07:15 611","10550","+4"
"12:07:15 704","10550","+32"
"12:07:34 222","10550","+14"
"12:07:34 605","10550","+8"
"12:08:13 104","10550","+7"
"12:08:13 106","10550","+7"
"12:08:13 107","10550","+7"
"12:08:13 107","10550","+7"
"12:08:13 108","10550","+14"
"12:08:42 299","10500","-100"
"12:09:00 221","10550","+1"
"12:09:06 048","10550","+50"
"12:09:06 049","10550","+50"
"12:09:06 049","10550","+1"
"12:09:06 617","10550","+1"
"12:09:06 812","10550","+15"
"12:09:07 117","10550","+1"
"12:09:27 615","10550","+19"
"12:09:27 615","10550","+3"
"12:09:27 702","10550","+32"
"12:10:20 614","10550","+8"
"12:10:29 108","10550","+6"
"12:10:29 110","10550","+6"
"12:10:29 112","10550","+6"
"12:10:29 113","10550","+6"
"12:10:29 114","10550","+13"
"12:11:08 919","10550","+19"
"12:11:08 993","10550","+37"
"12:11:08 994","10550","+19"
"12:11:08 994","10550","+19"
"12:11:08 995","10550","+24"
"12:11:39 623","10550","+19"
"12:11:39 623","10550","+3"
"12:11:39 624","10550","+32"
"12:12:43 004","10550","+50"
"12:12:43 104","10550","+50"
"12:12:43 105","10550","+1"
"12:12:43 512","10550","+15"
"12:12:46 110","10550","+13"
"12:12:46 114","10550","+7"
"12:12:46 114","10550","+7"
"12:12:46 114","10550","+7"
"12:12:46 115","10550","+7"
"12:13:07 610","10550","+9"
"12:13:50 619","10550","+20"
"12:13:50 694","10550","+3"
"12:13:50 694","10550","+33"
"12:15:02 106","10550","+6"
"12:15:02 106","10550","+6"
"12:15:02 107","10550","+6"
"12:15:02 109","10550","+14"
"12:15:02 109","10550","+6"
"12:15:39 402","10550","+24"
"12:15:39 402","10550","+19"
"12:15:39 403","10550","+19"
"12:15:39 404","10550","+38"
"12:15:39 405","10550","+19"
"12:15:53 596","10550","+8"
"12:16:02 613","10550","+19"
"12:16:02 614","10550","+4"
"12:16:02 692","10550","+32"
"12:16:19 998","10550","+50"
"12:16:19 998","10550","+1"
"12:16:19 999","10550","+50"
"12:16:20 302","10550","+15"
"12:16:57 804","10500","-100"
"12:17:18 401","10550","+1"
"12:17:19 106","10550","+7"
"12:17:19 106","10550","+7"
"12:17:19 106","10550","+7"
"12:17:19 107","10550","+7"
"12:17:19 107","10550","+13"
"12:18:14 600","10550","+19"
"12:18:14 605","10550","+3"
"12:18:14 605","10550","+32"
"12:18:39 602","10550","+8"
"12:19:35 090","10550","+6"
"12:19:35 091","10550","+6"
"12:19:35 092","10550","+6"
"12:19:35 092","10550","+6"
"12:19:35 102","10550","+13"
"12:19:56 095","10550","+50"
"12:19:56 095","10550","+50"
"12:19:56 095","10550","+1"
"12:19:57 102","10550","+15"
"12:20:09 907","10550","+18"
"12:20:09 908","10550","+23"
"12:20:09 908","10550","+37"
"12:20:09 909","10550","+18"
"12:20:09 910","10550","+18"
"12:20:25 608","10550","+20"
"12:20:25 608","10550","+3"
"12:20:25 609","10550","+32"
"12:21:25 591","10550","+8"
"12:21:52 108","10550","+14"
"12:21:52 110","10550","+7"
"12:21:52 111","10550","+7"
"12:21:52 113","10550","+7"
"12:21:52 114","10550","+7"
"12:22:37 610","10550","+19"
"12:22:37 611","10550","+3"
"12:22:37 701","10550","+33"
"12:23:10 888","10550","+5"
"12:23:33 012","10550","+50"
"12:23:33 086","10550","+1"
"12:23:33 087","10550","+50"
"12:23:33 802","10550","+15"
"12:24:02 699","10500","-1"
"12:24:08 090","10550","+6"
"12:24:08 092","10550","+6"
"12:24:08 096","10550","+6"
"12:24:08 097","10550","+6"
"12:24:08 098","10550","+13"
"12:24:12 596","10550","+8"
"12:24:40 319","10550","+19"
"12:24:40 320","10550","+24"
"12:24:40 320","10550","+38"
"12:24:40 320","10550","+19"
"12:24:40 384","10550","+19"
"12:24:49 597","10550","+19"
"12:24:49 598","10550","+3"
"12:24:49 598","10550","+32"
"12:26:25 111","10550","+13"
"12:26:25 121","10550","+7"
"12:26:25 126","10550","+7"
"12:26:25 129","10550","+7"
"12:26:25 130","10550","+7"
"12:26:58 596","10550","+8"
"12:27:01 600","10550","+20"
"12:27:01 600","10550","+4"
"12:27:01 601","10550","+32"
"12:27:10 100","10550","+50"
"12:27:10 101","10550","+1"
"12:27:10 105","10550","+50"
"12:27:10 589","10550","+15"
"12:28:41 090","10550","+6"
"12:28:41 097","10550","+6"
"12:28:41 191","10550","+6"
"12:28:41 192","10550","+6"
"12:28:41 198","10550","+14"
"12:28:51 908","10550","+5"
"12:29:10 789","10550","+24"
"12:29:10 789","10550","+19"
"12:29:10 789","10550","+37"
"12:29:10 790","10550","+19"
"12:29:10 790","10550","+19"
"12:29:12 601","10550","+19"
"12:29:12 602","10550","+3"
"12:29:12 603","10550","+33"
"12:29:44 600","10550","+8"
"12:29:47 596","10550","+10"
"12:30:46 996","10550","+50"
"12:30:46 997","10550","+50"
"12:30:46 997","10550","+1"
"12:30:47 308","10550","+15"
"12:30:58 092","10550","+7"
"12:30:58 093","10550","+13"
"12:30:58 095","10550","+7"
"12:30:58 096","10550","+7"
"12:30:58 097","10550","+7"
"12:30:58 099","10500","-2"
"12:31:24 588","10550","+20"
"12:31:24 589","10550","+3"
"12:31:24 589","10550","+32"
"12:31:51 282","10500","-5"
"12:32:06 792","10500","-800"
"12:32:13 290","10500","-70"
"12:32:31 619","10550","+8"
"12:33:07 899","10500","-100"
"12:33:14 090","10550","+6"
"12:33:14 091","10550","+6"
"12:33:14 091","10550","+6"
"12:33:14 091","10550","+6"
"12:33:14 094","10550","+13"
"12:33:36 581","10550","+19"
"12:33:36 582","10550","+3"
"12:33:36 582","10550","+32"
"12:33:41 286","10550","+24"
"12:33:41 294","10550","+19"
"12:33:41 295","10550","+19"
"12:33:41 295","10550","+38"
"12:33:41 296","10550","+19"
"12:34:19 996","10550","+33"
"12:34:23 983","10550","+50"
"12:34:23 983","10550","+50"
"12:34:23 983","10550","+1"
"12:34:24 099","10550","+15"
"12:35:17 087","10500","-3"
"12:35:17 590","10550","+8"
"12:35:31 088","10550","+14"
"12:35:31 090","10550","+7"
"12:35:31 093","10550","+7"
"12:35:31 093","10550","+7"
"12:35:31 093","10550","+7"
"12:35:47 598","10550","+19"
"12:35:47 598","10550","+4"
"12:35:47 598","10550","+32"
"12:37:47 073","10550","+6"
"12:37:47 074","10550","+6"
"12:37:47 075","10550","+6"
"12:37:47 075","10550","+13"
"12:37:47 075","10550","+6"
"12:37:59 595","10550","+20"
"12:37:59 595","10550","+3"
"12:37:59 595","10550","+33"
"12:38:00 074","10550","+50"
"12:38:00 074","10550","+50"
"12:38:00 074","10550","+1"
"12:38:00 902","10550","+15"
"12:38:03 590","10550","+9"
"12:38:11 677","10550","+18"
"12:38:11 677","10550","+18"
"12:38:11 678","10550","+23"
"12:38:11 678","10550","+37"
"12:38:11 679","10550","+18"
"12:40:04 087","10550","+7"
"12:40:04 087","10550","+13"
"12:40:04 088","10550","+7"
"12:40:04 092","10550","+7"
"12:40:04 093","10550","+7"
"12:40:11 580","10550","+19"
"12:40:11 580","10550","+3"
"12:40:11 580","10550","+32"
"12:40:49 582","10550","+8"
"12:41:36 984","10550","+50"
"12:41:36 984","10550","+50"
"12:41:36 984","10550","+1"
"12:41:37 595","10550","+15"
"12:42:20 075","10550","+6"
"12:42:20 076","10550","+6"
"12:42:20 077","10550","+14"
"12:42:20 081","10550","+6"
"12:42:20 082","10550","+6"
"12:42:22 616","10550","+19"
"12:42:22 616","10550","+3"
"12:42:22 617","10550","+32"
"12:42:42 179","10550","+24"
"12:42:42 179","10550","+38"
"12:42:42 180","10550","+19"
"12:42:42 181","10550","+19"
"12:42:42 181","10550","+19"
"12:43:36 567","10550","+8"
"12:43:48 674","10550","+61"
"12:43:51 986","10550","+10"
"12:44:07 476","10550","+10"
"12:44:34 612","10550","+20"
"12:44:34 613","10550","+3"
"12:44:34 670","10550","+32"
"12:44:37 071","10550","+7"
"12:44:37 073","10550","+7"
"12:44:37 074","10550","+7"
"12:44:37 075","10550","+7"
"12:44:37 075","10550","+13"
"12:45:07 797","10500","-20"
"12:45:14 382","10550","+15"
"12:45:56 892","10550","+10"
"12:46:16 887","10500","-20"
"12:46:22 582","10550","+8"
"12:46:29 974","10550","+80"
"12:46:37 882","10500","-500"
"12:46:46 575","10550","+19"
"12:46:46 575","10550","+4"
"12:46:46 677","10550","+33"
"12:46:53 069","10550","+6"
"12:46:53 069","10550","+13"
"12:46:53 070","10550","+6"
"12:46:53 071","10550","+6"
"12:46:53 072","10550","+6"
"12:47:01 481","10500","-300"
"12:47:12 581","10550","+19"
"12:47:12 581","10550","+19"
"12:47:12 582","10550","+24"
"12:47:12 667","10550","+19"
"12:47:12 668","10550","+37"
"12:48:50 985","10550","+50"
"12:48:50 985","10550","+50"
"12:48:50 985","10550","+1"
"12:48:51 176","10550","+15"
"12:48:57 581","10550","+19"
"12:48:57 582","10550","+3"
"12:48:57 582","10550","+32"
"12:49:08 577","10550","+8"
"12:49:10 076","10550","+7"
"12:49:10 078","10550","+7"
"12:49:10 079","10550","+14"
"12:49:10 079","10550","+7"
"12:49:10 080","10550","+7"
"12:51:09 645","10550","+20"
"12:51:09 645","10550","+3"
